Name,Rank,ELO,Total Games,Wins,Losses
Ragashii1,?,25000,0,0,0
JesterMan,?,25000,0,0,0
Pick1es,?,25000,0,0,0
Zarymura,?,25000,0,0,0
ShaDisNX2,A,25000,2,1,1
Ragashii,A,25000,2,1,1
Shantae,?,25000,0,0,0
Sil,?,25000,0,0,0
Anon,?,25000,0,0,0
caseomatt,?,25000,0,0,0
D3str0y3d,?,25000,0,0,0
Wata,?,25000,0,0,0
Geo,?,25000,0,0,0
Xceed,?,25000,0,0,0
Luigi,?,25000,0,0,0
t.a.b,?,25000,0,0,0
